League,Year,Pos,Team
Brasileirão,2023.0,1,Palmeiras
Brasileirão,2023.0,2,Grêmio
Brasileirão,2023.0,3,Atlético-MG
Brasileirão,2023.0,4,Flamengo
Brasileirão,2023.0,5,Botafogo
Brasileirão,2023.0,6,Bragantino
Brasileirão,2023.0,7,Fluminense
Brasileirão,2023.0,8,Atlético-PR
Brasileirão,2023.0,9,Internacional
Brasileirão,2023.0,10,Fortaleza
Brasileirão,2023.0,11,São Paulo
Brasileirão,2023.0,12,Cuiabá
Brasileirão,2023.0,13,Corinthians
Brasileirão,2023.0,14,Cruzeiro
Brasileirão,2023.0,15,Vasco
Brasileirão,2023.0,16,Bahia
Brasileirão,2023.0,17,Santos
Brasileirão,2023.0,18,Goiás
Brasileirão,2023.0,19,Coritiba
Brasileirão,2023.0,20,América-MG
Brasileirão,2022.0,1,Palmeiras
Brasileirão,2022.0,2,Internacional
Brasileirão,2022.0,3,Fluminense
Brasileirão,2022.0,4,Corinthians
Brasileirão,2022.0,5,Flamengo
Brasileirão,2022.0,6,Atlético-PR
Brasileirão,2022.0,7,Atlético-MG
Brasileirão,2022.0,8,Fortaleza
Brasileirão,2022.0,9,São Paulo
Brasileirão,2022.0,10,América-MG
Brasileirão,2022.0,11,Botafogo
Brasileirão,2022.0,12,Santos
Brasileirão,2022.0,13,Goiás
Brasileirão,2022.0,14,Bragantino
Brasileirão,2022.0,15,Coritiba
Brasileirão,2022.0,16,Cuiabá
Brasileirão,2022.0,17,Ceará
Brasileirão,2022.0,18,Avaí
Brasileirão,2022.0,19,Atlético-GO
Brasileirão,2022.0,20,Juventude
Brasileirão,2021.0,1,Atlético-MG
Brasileirão,2021.0,2,Flamengo
Brasileirão,2021.0,3,Palmeiras
Brasileirão,2021.0,4,Fortaleza
Brasileirão,2021.0,5,Corinthians
Brasileirão,2021.0,6,Bragantino
Brasileirão,2021.0,7,Fluminense
Brasileirão,2021.0,8,América-MG
Brasileirão,2021.0,9,Atlético-GO
Brasileirão,2021.0,10,Santos
Brasileirão,2021.0,11,Ceará
Brasileirão,2021.0,12,Internacional
Brasileirão,2021.0,13,São Paulo
Brasileirão,2021.0,14,Atlético-PR
Brasileirão,2021.0,15,Cuiabá
Brasileirão,2021.0,16,Juventude
Brasileirão,2021.0,17,Grêmio
Brasileirão,2021.0,18,Bahia
Brasileirão,2021.0,19,Sport
Brasileirão,2021.0,20,Chapecoense
Brasileirão,2020.0,1,Flamengo
Brasileirão,2020.0,2,Internacional
Brasileirão,2020.0,3,Atlético-MG
Brasileirão,2020.0,4,São Paulo
Brasileirão,2020.0,5,Fluminense
Brasileirão,2020.0,6,Palmeiras
Brasileirão,2020.0,7,Grêmio
Brasileirão,2020.0,8,Santos
Brasileirão,2020.0,9,Atlético-PR
Brasileirão,2020.0,10,Bragantino
Brasileirão,2020.0,11,Ceará
Brasileirão,2020.0,12,Corinthians
Brasileirão,2020.0,13,Atlético-GO
Brasileirão,2020.0,14,Bahia
Brasileirão,2020.0,15,Sport
Brasileirão,2020.0,16,Fortaleza
Brasileirão,2020.0,17,Vasco
Brasileirão,2020.0,18,Goiás
Brasileirão,2020.0,19,Coritiba
Brasileirão,2020.0,20,Botafogo
Brasileirão,2019.0,1,Flamengo
Brasileirão,2019.0,2,Santos
Brasileirão,2019.0,3,Palmeiras
Brasileirão,2019.0,4,Grêmio
Brasileirão,2019.0,5,Atlético-PR
Brasileirão,2019.0,6,São Paulo
Brasileirão,2019.0,7,Internacional
Brasileirão,2019.0,8,Corinthians
Brasileirão,2019.0,9,Fortaleza
Brasileirão,2019.0,10,Goiás
Brasileirão,2019.0,11,Bahia
Brasileirão,2019.0,12,Vasco
Brasileirão,2019.0,13,Atlético-MG
Brasileirão,2019.0,14,Fluminense
Brasileirão,2019.0,15,Botafogo
Brasileirão,2019.0,16,Ceará
Brasileirão,2019.0,17,Cruzeiro
Brasileirão,2019.0,18,CSA
Brasileirão,2019.0,19,Chapecoense
Brasileirão,2019.0,20,Avaí
Brasileirão,2018.0,1,Palmeiras
Brasileirão,2018.0,2,Flamengo
Brasileirão,2018.0,3,Internacional
Brasileirão,2018.0,4,Grêmio
Brasileirão,2018.0,5,São Paulo
Brasileirão,2018.0,6,Atlético-MG
Brasileirão,2018.0,7,Atlético-PR
Brasileirão,2018.0,8,Cruzeiro
Brasileirão,2018.0,9,Botafogo
Brasileirão,2018.0,10,Santos
Brasileirão,2018.0,11,Bahia
Brasileirão,2018.0,12,Fluminense
Brasileirão,2018.0,13,Corinthians
Brasileirão,2018.0,14,Chapecoense
Brasileirão,2018.0,15,Ceará
Brasileirão,2018.0,16,Vasco
Brasileirão,2018.0,17,América-MG
Brasileirão,2018.0,18,Sport
Brasileirão,2018.0,19,Vitória
Brasileirão,2018.0,20,Paraná
Brasileirão,2017.0,1,Corinthians
Brasileirão,2017.0,2,Palmeiras
Brasileirão,2017.0,3,Grêmio
Brasileirão,2017.0,4,Santos
Brasileirão,2017.0,5,Cruzeiro
Brasileirão,2017.0,6,Flamengo
Brasileirão,2017.0,7,Vasco
Brasileirão,2017.0,8,Chapecoense
Brasileirão,2017.0,9,Atlético-MG
Brasileirão,2017.0,10,Botafogo
Brasileirão,2017.0,11,Atlético-PR
Brasileirão,2017.0,12,Bahia
Brasileirão,2017.0,13,São Paulo
Brasileirão,2017.0,14,Fluminense
Brasileirão,2017.0,15,Sport
Brasileirão,2017.0,16,Vitória
Brasileirão,2017.0,17,Coritiba
Brasileirão,2017.0,18,Avaí
Brasileirão,2017.0,19,Ponte Preta
Brasileirão,2017.0,20,Atlético-GO
Brasileirão,2016.0,1,Palmeiras
Brasileirão,2016.0,2,Flamengo
Brasileirão,2016.0,3,Santos
Brasileirão,2016.0,4,Atlético-MG
Brasileirão,2016.0,5,Botafogo
Brasileirão,2016.0,6,Atlético-PR
Brasileirão,2016.0,7,Corinthians
Brasileirão,2016.0,8,Ponte Preta
Brasileirão,2016.0,9,Grêmio
Brasileirão,2016.0,10,São Paulo
Brasileirão,2016.0,11,Chapecoense
Brasileirão,2016.0,12,Cruzeiro
Brasileirão,2016.0,13,Fluminense
Brasileirão,2016.0,14,Sport
Brasileirão,2016.0,15,Coritiba
Brasileirão,2016.0,16,Vitória
Brasileirão,2016.0,17,Internacional
Brasileirão,2016.0,18,Figueirense
Brasileirão,2016.0,19,Santa Cruz
Brasileirão,2016.0,20,América-MG
Brasileirão,2015.0,1,Corinthians
Brasileirão,2015.0,2,Atlético-MG
Brasileirão,2015.0,3,Grêmio
Brasileirão,2015.0,4,São Paulo
Brasileirão,2015.0,5,Internacional
Brasileirão,2015.0,6,Sport
Brasileirão,2015.0,7,Santos
Brasileirão,2015.0,8,Cruzeiro
Brasileirão,2015.0,9,Palmeiras
Brasileirão,2015.0,10,Atlético-PR
Brasileirão,2015.0,11,Ponte Preta
Brasileirão,2015.0,12,Flamengo
Brasileirão,2015.0,13,Fluminense
Brasileirão,2015.0,14,Chapecoense
Brasileirão,2015.0,15,Coritiba
Brasileirão,2015.0,16,Figueirense
Brasileirão,2015.0,17,Avaí
Brasileirão,2015.0,18,Vasco
Brasileirão,2015.0,19,Goiás
Brasileirão,2015.0,20,Joinville
Brasileirão,2014.0,1,Cruzeiro
Brasileirão,2014.0,2,São Paulo
Brasileirão,2014.0,3,Internacional
Brasileirão,2014.0,4,Corinthians
Brasileirão,2014.0,5,Atlético-MG
Brasileirão,2014.0,6,Fluminense
Brasileirão,2014.0,7,Grêmio
Brasileirão,2014.0,8,Atlético-PR
Brasileirão,2014.0,9,Santos
Brasileirão,2014.0,10,Flamengo
Brasileirão,2014.0,11,Sport
Brasileirão,2014.0,12,Goiás
Brasileirão,2014.0,13,Figueirense
Brasileirão,2014.0,14,Coritiba
Brasileirão,2014.0,15,Chapecoense
Brasileirão,2014.0,16,Palmeiras
Brasileirão,2014.0,17,Vitória
Brasileirão,2014.0,18,Bahia
Brasileirão,2014.0,19,Botafogo
Brasileirão,2014.0,20,Criciúma
Brasileirão,2013.0,1,Cruzeiro
Brasileirão,2013.0,2,Grêmio
Brasileirão,2013.0,3,Atlético-PR
Brasileirão,2013.0,4,Botafogo
Brasileirão,2013.0,5,Vitória
Brasileirão,2013.0,6,Goiás
Brasileirão,2013.0,7,Santos
Brasileirão,2013.0,8,Atlético-MG
Brasileirão,2013.0,9,São Paulo
Brasileirão,2013.0,10,Corinthians
Brasileirão,2013.0,11,Coritiba
Brasileirão,2013.0,12,Bahia
Brasileirão,2013.0,13,Internacional
Brasileirão,2013.0,14,Criciúma
Brasileirão,2013.0,15,Fluminense
Brasileirão,2013.0,16,Flamengo
Brasileirão,2013.0,17,Portuguesa
Brasileirão,2013.0,18,Vasco
Brasileirão,2013.0,19,Ponte Preta
Brasileirão,2013.0,20,Naútico
Brasileirão,2012.0,1,Fluminense
Brasileirão,2012.0,2,Atlético-MG
Brasileirão,2012.0,3,Grêmio
Brasileirão,2012.0,4,São Paulo
Brasileirão,2012.0,5,Vasco
Brasileirão,2012.0,6,Corinthians
Brasileirão,2012.0,7,Botafogo
Brasileirão,2012.0,8,Santos
Brasileirão,2012.0,9,Cruzeiro
Brasileirão,2012.0,10,Internacional
Brasileirão,2012.0,11,Flamengo
Brasileirão,2012.0,12,Naútico
Brasileirão,2012.0,13,Coritiba
Brasileirão,2012.0,14,Ponte Preta
Brasileirão,2012.0,15,Bahia
Brasileirão,2012.0,16,Portuguesa
Brasileirão,2012.0,17,Sport
Brasileirão,2012.0,18,Palmeiras
Brasileirão,2012.0,19,Atlético-GO
Brasileirão,2012.0,20,Figueirense
Brasileirão,2011.0,1,Corinthians
Brasileirão,2011.0,2,Vasco
Brasileirão,2011.0,3,Fluminense
Brasileirão,2011.0,4,Flamengo
Brasileirão,2011.0,5,Internacional
Brasileirão,2011.0,6,São Paulo
Brasileirão,2011.0,7,Figueirense
Brasileirão,2011.0,8,Coritiba
Brasileirão,2011.0,9,Botafogo
Brasileirão,2011.0,10,Santos
Brasileirão,2011.0,11,Palmeiras
Brasileirão,2011.0,12,Grêmio
Brasileirão,2011.0,13,Atlético-GO
Brasileirão,2011.0,14,Bahia
Brasileirão,2011.0,15,Atlético-MG
Brasileirão,2011.0,16,Cruzeiro
Brasileirão,2011.0,17,Atlético-PR
Brasileirão,2011.0,18,Ceará
Brasileirão,2011.0,19,América-MG
Brasileirão,2011.0,20,Avaí
Brasileirão,2010.0,1,Fluminense
Brasileirão,2010.0,2,Cruzeiro
Brasileirão,2010.0,3,Corinthians
Brasileirão,2010.0,4,Grêmio
Brasileirão,2010.0,5,Atlético-PR
Brasileirão,2010.0,6,Botafogo
Brasileirão,2010.0,7,Internacional
Brasileirão,2010.0,8,Santos
Brasileirão,2010.0,9,São Paulo
Brasileirão,2010.0,10,Palmeiras
Brasileirão,2010.0,11,Vasco
Brasileirão,2010.0,12,Ceará
Brasileirão,2010.0,13,Atlético-MG
Brasileirão,2010.0,14,Flamengo
Brasileirão,2010.0,15,Avaí
Brasileirão,2010.0,16,Atlético-GO
Brasileirão,2010.0,17,Vitória
Brasileirão,2010.0,18,Guarani
Brasileirão,2010.0,19,Goiás
Brasileirão,2010.0,20,Grêmio Barueri
Brasileirão,2009.0,1,Flamengo
Brasileirão,2009.0,2,Internacional
Brasileirão,2009.0,3,São Paulo
Brasileirão,2009.0,4,Cruzeiro
Brasileirão,2009.0,5,Palmeiras
Brasileirão,2009.0,6,Avaí
Brasileirão,2009.0,7,Atlético-MG
Brasileirão,2009.0,8,Grêmio
Brasileirão,2009.0,9,Goiás
Brasileirão,2009.0,10,Corinthians
Brasileirão,2009.0,11,Grêmio Barueri
Brasileirão,2009.0,12,Santos
Brasileirão,2009.0,13,Vitória
Brasileirão,2009.0,14,Atlético-PR
Brasileirão,2009.0,15,Botafogo
Brasileirão,2009.0,16,Fluminense
Brasileirão,2009.0,17,Coritiba
Brasileirão,2009.0,18,Santo André
Brasileirão,2009.0,19,Naútico
Brasileirão,2009.0,20,Sport
Brasileirão,2008.0,1,São Paulo
Brasileirão,2008.0,2,Grêmio
Brasileirão,2008.0,3,Cruzeiro
Brasileirão,2008.0,4,Palmeiras
Brasileirão,2008.0,5,Flamengo
Brasileirão,2008.0,6,Internacional
Brasileirão,2008.0,7,Botafogo
Brasileirão,2008.0,8,Goiás
Brasileirão,2008.0,9,Coritiba
Brasileirão,2008.0,10,Vitória
Brasileirão,2008.0,11,Sport
Brasileirão,2008.0,12,Atlético-MG
Brasileirão,2008.0,13,Atlético-PR
Brasileirão,2008.0,14,Fluminense
Brasileirão,2008.0,15,Santos
Brasileirão,2008.0,16,Naútico
Brasileirão,2008.0,17,Figueirense
Brasileirão,2008.0,18,Vasco
Brasileirão,2008.0,19,Portuguesa
Brasileirão,2008.0,20,Ipatinga
Brasileirão,2007.0,1,São Paulo
Brasileirão,2007.0,2,Santos
Brasileirão,2007.0,3,Flamengo
Brasileirão,2007.0,4,Fluminense
Brasileirão,2007.0,5,Cruzeiro
Brasileirão,2007.0,6,Grêmio
Brasileirão,2007.0,7,Palmeiras
Brasileirão,2007.0,8,Atlético-MG
Brasileirão,2007.0,9,Botafogo
Brasileirão,2007.0,10,Vasco
Brasileirão,2007.0,11,Internacional
Brasileirão,2007.0,12,Atlético-PR
Brasileirão,2007.0,13,Figueirense
Brasileirão,2007.0,14,Sport
Brasileirão,2007.0,15,Naútico
Brasileirão,2007.0,16,Goiás
Brasileirão,2007.0,17,Corinthians
Brasileirão,2007.0,18,Juventude
Brasileirão,2007.0,19,Paraná
Brasileirão,2007.0,20,América-RN
Brasileirão,2006.0,1,São Paulo
Brasileirão,2006.0,2,Internacional
Brasileirão,2006.0,3,Grêmio
Brasileirão,2006.0,4,Santos
Brasileirão,2006.0,5,Paraná
Brasileirão,2006.0,6,Vasco
Brasileirão,2006.0,7,Figueirense
Brasileirão,2006.0,8,Goiás
Brasileirão,2006.0,9,Corinthians
Brasileirão,2006.0,10,Cruzeiro
Brasileirão,2006.0,11,Flamengo
Brasileirão,2006.0,12,Botafogo
Brasileirão,2006.0,13,Atlético-PR
Brasileirão,2006.0,14,Juventude
Brasileirão,2006.0,15,Fluminense
Brasileirão,2006.0,16,Palmeiras
Brasileirão,2006.0,17,Ponte Preta
Brasileirão,2006.0,18,Fortaleza
Brasileirão,2006.0,19,São Caetano
Brasileirão,2006.0,20,Santa Cruz
Brasileirão,2005.0,1,Corinthians
Brasileirão,2005.0,2,Internacional
Brasileirão,2005.0,3,Goiás
Brasileirão,2005.0,4,Palmeiras
Brasileirão,2005.0,5,Fluminense
Brasileirão,2005.0,6,Atlético-PR
Brasileirão,2005.0,7,Paraná
Brasileirão,2005.0,8,Cruzeiro
Brasileirão,2005.0,9,Botafogo
Brasileirão,2005.0,10,Santos
Brasileirão,2005.0,11,São Paulo
Brasileirão,2005.0,12,Vasco
Brasileirão,2005.0,13,Fortaleza
Brasileirão,2005.0,14,Juventude
Brasileirão,2005.0,15,Flamengo
Brasileirão,2005.0,16,Figueirense
Brasileirão,2005.0,17,São Caetano
Brasileirão,2005.0,18,Ponte Preta
Brasileirão,2005.0,19,Coritiba
Brasileirão,2005.0,20,Atlético-MG
Brasileirão,2005.0,21,Paysandu
Brasileirão,2005.0,22,Brasiliense
Brasileirão,2004.0,1,Santos
Brasileirão,2004.0,2,Atlético-PR
Brasileirão,2004.0,3,São Paulo
Brasileirão,2004.0,4,Palmeiras
Brasileirão,2004.0,5,Corinthians
Brasileirão,2004.0,6,Goiás
Brasileirão,2004.0,7,Juventude
Brasileirão,2004.0,8,Internacional
Brasileirão,2004.0,9,Fluminense
Brasileirão,2004.0,10,Ponte Preta
Brasileirão,2004.0,11,Figueirense
Brasileirão,2004.0,12,Coritiba
Brasileirão,2004.0,13,Cruzeiro
Brasileirão,2004.0,14,Paysandu
Brasileirão,2004.0,15,Paraná
Brasileirão,2004.0,16,Vasco
Brasileirão,2004.0,17,Flamengo
Brasileirão,2004.0,18,São Caetano
Brasileirão,2004.0,19,Atlético-MG
Brasileirão,2004.0,20,Botafogo
Brasileirão,2004.0,21,Criciúma
Brasileirão,2004.0,22,Guarani
Brasileirão,2004.0,23,Vitória
Brasileirão,2004.0,24,Grêmio
Brasileirão,2003.0,1,Cruzeiro
Brasileirão,2003.0,2,Santos
Brasileirão,2003.0,3,São Paulo
Brasileirão,2003.0,4,São Caetano
Brasileirão,2003.0,5,Coritiba
Brasileirão,2003.0,6,Internacional
Brasileirão,2003.0,7,Atlético-MG
Brasileirão,2003.0,8,Flamengo
Brasileirão,2003.0,9,Goiás
Brasileirão,2003.0,10,Paraná
Brasileirão,2003.0,11,Figueirense
Brasileirão,2003.0,12,Atlético-PR
Brasileirão,2003.0,13,Guarani
Brasileirão,2003.0,14,Criciúma
Brasileirão,2003.0,15,Corinthians
Brasileirão,2003.0,16,Vitória
Brasileirão,2003.0,17,Vasco
Brasileirão,2003.0,18,Juventude
Brasileirão,2003.0,19,Fluminense
Brasileirão,2003.0,20,Grêmio
Brasileirão,2003.0,21,Ponte Preta
Brasileirão,2003.0,22,Paysandu
Brasileirão,2003.0,23,Fortaleza
Brasileirão,2003.0,24,Bahia
Brasileirão,2002.0,1,Santos
Brasileirão,2002.0,2,Corinthians
Brasileirão,2002.0,3,Grêmio
Brasileirão,2002.0,4,Fluminense
Brasileirão,2002.0,5,São Paulo
Brasileirão,2002.0,6,São Caetano
Brasileirão,2002.0,7,Juventude
Brasileirão,2002.0,8,Atlético-MG
Brasileirão,2002.0,9,Cruzeiro
Brasileirão,2002.0,10,Vitória
Brasileirão,2002.0,11,Coritiba
Brasileirão,2002.0,12,Goiás
Brasileirão,2002.0,13,Ponte Preta
Brasileirão,2002.0,14,Atlético-PR
Brasileirão,2002.0,15,Vasco
Brasileirão,2002.0,16,Guarani
Brasileirão,2002.0,17,Figueirense
Brasileirão,2002.0,18,Flamengo
Brasileirão,2002.0,19,Bahia
Brasileirão,2002.0,20,Paysandu
Brasileirão,2002.0,21,Internacional
Brasileirão,2002.0,22,Paraná
Brasileirão,2002.0,23,Portuguesa
Brasileirão,2002.0,24,Palmeiras
Brasileirão,2002.0,25,Gama
Brasileirão,2002.0,26,Botafogo
Brasileirão,2001.0,1,Atlético-PR
Brasileirão,2001.0,2,São Caetano
Brasileirão,2001.0,3,Fluminense
Brasileirão,2001.0,4,Atlético-MG
Brasileirão,2001.0,5,Grêmio
Brasileirão,2001.0,6,Ponte Preta
Brasileirão,2001.0,7,São Paulo
Brasileirão,2001.0,8,Bahia
Brasileirão,2001.0,9,Internacional
Brasileirão,2001.0,10,Goiás
Brasileirão,2001.0,11,Vasco
Brasileirão,2001.0,12,Palmeiras
Brasileirão,2001.0,13,Portuguesa
Brasileirão,2001.0,14,Paraná
Brasileirão,2001.0,15,Santos
Brasileirão,2001.0,16,Vitória
Brasileirão,2001.0,17,Coritiba
Brasileirão,2001.0,18,Corinthians
Brasileirão,2001.0,19,Guarani
Brasileirão,2001.0,20,Gama
Brasileirão,2001.0,21,Cruzeiro
Brasileirão,2001.0,22,Juventude
Brasileirão,2001.0,23,Botafogo
Brasileirão,2001.0,24,Flamengo
Brasileirão,2001.0,25,Santa Cruz
Brasileirão,2001.0,26,América-MG
Brasileirão,2001.0,27,Botafogo-SP
Brasileirão,2001.0,28,Sport
Brasileirão,2000.0,1,Vasco
Brasileirão,2000.0,2,São Caetano
Brasileirão,2000.0,3,Cruzeiro
Brasileirão,2000.0,4,Grêmio
Brasileirão,2000.0,5,Sport
Brasileirão,2000.0,6,Internacional
Brasileirão,2000.0,7,Palmeiras
Brasileirão,2000.0,8,Paraná
Brasileirão,2000.0,9,Fluminense
Brasileirão,2000.0,10,Goiás
Brasileirão,2000.0,11,Ponte Preta
Brasileirão,2000.0,12,São Paulo
Brasileirão,2000.0,13,Atlético-PR
Brasileirão,2000.0,14,Bahia
Brasileirão,2000.0,15,J. Malucelli
Brasileirão,2000.0,16,Remo
Brasileirão,2000.0,17,Guarani
Brasileirão,2000.0,18,Santos
Brasileirão,2000.0,19,Flamengo
Brasileirão,2000.0,20,Botafogo
Brasileirão,2000.0,21,Portuguesa
Brasileirão,2000.0,22,Vitória
Brasileirão,2000.0,23,América-MG
Brasileirão,2000.0,24,Atlético-MG
Brasileirão,2000.0,25,Juventude
Brasileirão,2000.0,26,Gama
Brasileirão,2000.0,27,Coritiba
Brasileirão,2000.0,28,Corinthians
Brasileirão,2000.0,29,Santa Cruz
Brasileirão,1999.0,1,Corinthians
Brasileirão,1999.0,2,Atlético-MG
Brasileirão,1999.0,3,Vitória
Brasileirão,1999.0,4,São Paulo
Brasileirão,1999.0,5,Cruzeiro
Brasileirão,1999.0,6,Ponte Preta
Brasileirão,1999.0,7,Vasco
Brasileirão,1999.0,8,Guarani
Brasileirão,1999.0,9,Atlético-PR
Brasileirão,1999.0,10,Palmeiras
Brasileirão,1999.0,11,Santos
Brasileirão,1999.0,12,Flamengo
Brasileirão,1999.0,13,Coritiba
Brasileirão,1999.0,14,Botafogo
Brasileirão,1999.0,15,Gama
Brasileirão,1999.0,16,Internacional
Brasileirão,1999.0,17,Paraná
Brasileirão,1999.0,18,Grêmio
Brasileirão,1999.0,19,Juventude
Brasileirão,1999.0,20,Botafogo-SP
Brasileirão,1999.0,21,Portuguesa
Brasileirão,1999.0,22,Sport
Brasileirão,1998.0,1,Corinthians
Brasileirão,1998.0,2,Cruzeiro
Brasileirão,1998.0,3,Santos
Brasileirão,1998.0,4,Portuguesa
Brasileirão,1998.0,5,Palmeiras
Brasileirão,1998.0,6,Coritiba
Brasileirão,1998.0,7,Sport
Brasileirão,1998.0,8,Grêmio
Brasileirão,1998.0,9,Atlético-MG
Brasileirão,1998.0,10,Vasco
Brasileirão,1998.0,11,Flamengo
Brasileirão,1998.0,12,Internacional
Brasileirão,1998.0,13,Vitória
Brasileirão,1998.0,14,Botafogo
Brasileirão,1998.0,15,São Paulo
Brasileirão,1998.0,16,Atlético-PR
Brasileirão,1998.0,17,Ponte Preta
Brasileirão,1998.0,18,Juventude
Brasileirão,1998.0,19,Guarani
Brasileirão,1998.0,20,Paraná
Brasileirão,1998.0,21,América-MG
Brasileirão,1998.0,22,Goiás
Brasileirão,1998.0,23,Bragantino
Brasileirão,1998.0,24,América-RN
Brasileirão,1997.0,1,Vasco
Brasileirão,1997.0,2,Palmeiras
Brasileirão,1997.0,3,Internacional
Brasileirão,1997.0,4,Atlético-MG
Brasileirão,1997.0,5,Flamengo
Brasileirão,1997.0,6,Portuguesa
Brasileirão,1997.0,7,Santos
Brasileirão,1997.0,8,Juventude
Brasileirão,1997.0,9,Vitória
Brasileirão,1997.0,10,Botafogo
Brasileirão,1997.0,11,Sport
Brasileirão,1997.0,12,São Paulo
Brasileirão,1997.0,13,Paraná
Brasileirão,1997.0,14,Grêmio
Brasileirão,1997.0,15,Coritiba
Brasileirão,1997.0,16,América-RN
Brasileirão,1997.0,17,Corinthians
Brasileirão,1997.0,18,Atlético-PR
Brasileirão,1997.0,19,Goiás
Brasileirão,1997.0,20,Cruzeiro
Brasileirão,1997.0,21,Guarani
Brasileirão,1997.0,22,Bragantino
Brasileirão,1997.0,23,Bahia
Brasileirão,1997.0,24,Criciúma
Brasileirão,1997.0,25,Fluminense
Brasileirão,1997.0,26,Uniao São João
Brasileirão,1996.0,1,Grêmio
Brasileirão,1996.0,2,Portuguesa
Brasileirão,1996.0,3,Atlético-MG
Brasileirão,1996.0,4,Goiás
Brasileirão,1996.0,5,Cruzeiro
Brasileirão,1996.0,6,Guarani
Brasileirão,1996.0,7,Palmeiras
Brasileirão,1996.0,8,Atlético-PR
Brasileirão,1996.0,9,Internacional
Brasileirão,1996.0,10,Sport
Brasileirão,1996.0,11,São Paulo
Brasileirão,1996.0,12,Corinthians
Brasileirão,1996.0,13,Flamengo
Brasileirão,1996.0,14,Coritiba
Brasileirão,1996.0,15,Vitória
Brasileirão,1996.0,16,Paraná
Brasileirão,1996.0,17,Botafogo
Brasileirão,1996.0,18,Vasco
Brasileirão,1996.0,19,Juventude
Brasileirão,1996.0,20,Santos
Brasileirão,1996.0,21,Criciúma
Brasileirão,1996.0,22,Bahia
Brasileirão,1996.0,23,Fluminense
Brasileirão,1996.0,24,Bragantino
Brasileirão,1995.0,1,Botafogo
Brasileirão,1995.0,2,Santos
Brasileirão,1995.0,3,Cruzeiro
Brasileirão,1995.0,4,Fluminense
Brasileirão,1995.0,5,Palmeiras
Brasileirão,1995.0,6,Bragantino
Brasileirão,1995.0,7,Atlético-MG
Brasileirão,1995.0,8,Goiás
Brasileirão,1995.0,9,Internacional
Brasileirão,1995.0,10,Portuguesa
Brasileirão,1995.0,11,Juventude
Brasileirão,1995.0,12,São Paulo
Brasileirão,1995.0,13,Paraná
Brasileirão,1995.0,14,Corinthians
Brasileirão,1995.0,15,Grêmio
Brasileirão,1995.0,16,Criciúma
Brasileirão,1995.0,17,Bahia
Brasileirão,1995.0,18,Sport
Brasileirão,1995.0,19,Guarani
Brasileirão,1995.0,20,Vasco
Brasileirão,1995.0,21,Flamengo
Brasileirão,1995.0,22,Vitória
Brasileirão,1995.0,23,Paysandu
Brasileirão,1995.0,24,Uniao São João
Brasileirão,1994.0,1,Palmeiras
Brasileirão,1994.0,2,Corinthians
Brasileirão,1994.0,3,Guarani
Brasileirão,1994.0,4,Atlético-MG
Brasileirão,1994.0,5,Botafogo
Brasileirão,1994.0,6,São Paulo
Brasileirão,1994.0,7,Bahia
Brasileirão,1994.0,8,Bragantino
Brasileirão,1994.0,9,Santos
Brasileirão,1994.0,10,Portuguesa
Brasileirão,1994.0,11,Grêmio
Brasileirão,1994.0,12,Vasco
Brasileirão,1994.0,13,Sport
Brasileirão,1994.0,14,Flamengo
Brasileirão,1994.0,15,Fluminense
Brasileirão,1994.0,16,Paysandu
Brasileirão,1994.0,17,Internacional
Brasileirão,1994.0,18,Paraná
Brasileirão,1994.0,19,Vitória
Brasileirão,1994.0,20,Criciúma
Brasileirão,1994.0,21,Uniao São João
Brasileirão,1994.0,22,Cruzeiro
Brasileirão,1994.0,23,Remo
Brasileirão,1994.0,24,Naútico
Brasileirão,1993.0,1,Palmeiras
Brasileirão,1993.0,2,Vitória
Brasileirão,1993.0,3,Corinthians
Brasileirão,1993.0,4,São Paulo
Brasileirão,1993.0,5,Santos
Brasileirão,1993.0,6,Guarani
Brasileirão,1993.0,7,Remo
Brasileirão,1993.0,8,Flamengo
Brasileirão,1993.0,9,Portuguesa
Brasileirão,1993.0,10,Paraná
Brasileirão,1993.0,11,Grêmio
Brasileirão,1993.0,12,Cruzeiro
Brasileirão,1993.0,13,Internacional
Brasileirão,1993.0,14,Bragantino
Brasileirão,1993.0,15,Vasco
Brasileirão,1993.0,16,Sport
Brasileirão,1993.0,17,Fluminense
Brasileirão,1993.0,18,Bahia
Brasileirão,1993.0,19,Botafogo
Brasileirão,1993.0,20,Atlético-MG
Brasileirão,1993.0,21,Paysandu
Brasileirão,1993.0,22,Uniao São João
Brasileirão,1993.0,23,Criciúma
Brasileirão,1993.0,24,Naútico
Brasileirão,1993.0,25,América-MG
Brasileirão,1993.0,26,Ceará
Brasileirão,1993.0,27,Coritiba
Brasileirão,1993.0,28,Santa Cruz
Brasileirão,1993.0,29,Atlético-PR
Brasileirão,1993.0,30,Goiás
Brasileirão,1993.0,31,Fortaleza
Brasileirão,1993.0,32,Desportiva
Brasileirão,1992.0,1,Flamengo
Brasileirão,1992.0,2,Botafogo
Brasileirão,1992.0,3,Vasco
Brasileirão,1992.0,4,Bragantino
Brasileirão,1992.0,5,São Paulo
Brasileirão,1992.0,6,Corinthians
Brasileirão,1992.0,7,Santos
Brasileirão,1992.0,8,Cruzeiro
Brasileirão,1992.0,9,Guarani
Brasileirão,1992.0,10,Internacional
Brasileirão,1992.0,11,Palmeiras
